charge (pC),ch.0,ch.1
-8.0078125,3,1
-4.0234375,7,49
-0.0390625,17,97
3.9453125,15,24
7.9296875,4,4
11.9140625,8,1
15.8984375,6,0
19.8828125,4,0
23.8671875,4,0
27.8515625,14,0
31.8359375,9,0
35.8203125,6,0
39.8046875,6,0
43.7890625,4,0
47.7734375,6,0
51.7578125,2,0
55.7421875,6,0
59.7265625,6,0
63.7109375,9,0
67.6953125,3,0
71.6796875,3,0
75.6640625,5,0
79.6484375,5,0
83.6328125,4,0
87.6171875,2,0
91.6015625,1,0
95.5859375,1,0
99.5703125,3,0
103.5546875,3,0
107.5390625,0,0
111.5234375,0,0
115.5078125,1,0
119.4921875,0,0
123.4765625,2,0
127.4609375,1,0
131.4453125,0,0
135.4296875,0,0
139.4140625,1,0
143.3984375,0,0
147.3828125,2,0
151.3671875,0,0
155.3515625,1,0
159.3359375,0,0
163.3203125,0,0
167.3046875,0,0
171.2890625,0,0
175.2734375,0,0
179.2578125,0,0
183.2421875,0,0
187.2265625,1,0
191.2109375,0,0
195.1953125,0,0
199.1796875,0,0
203.1640625,0,0
207.1484375,0,0
211.1328125,0,0
215.1171875,1,0
219.1015625,0,0
223.0859375,0,0
227.0703125,0,0
231.0546875,0,0
235.0390625,0,0
239.0234375,0,0
243.0078125,0,0
246.9921875,0,0
250.9765625,0,0
254.9609375,0,0
258.9453125,0,0
262.9296875,0,0
266.9140625,0,0
270.8984375,0,0
274.8828125,0,0
278.8671875,0,0
282.8515625,0,0
286.8359375,0,0
290.8203125,0,0
294.8046875,0,0
298.7890625,0,0
302.7734375,0,0
306.7578125,0,0
310.7421875,0,0
314.7265625,0,0
318.7109375,0,0
322.6953125,0,0
326.6796875,0,0
330.6640625,0,0
334.6484375,0,0
338.6328125,0,0
342.6171875,0,0
346.6015625,0,0
350.5859375,0,0
354.5703125,0,0
358.5546875,0,0
362.5390625,0,0
366.5234375,0,0
370.5078125,0,0
374.4921875,0,0
378.4765625,0,0
382.4609375,0,0
386.4453125,0,0
390.4296875,0,0
394.4140625,0,0
398.3984375,0,0
402.3828125,0,0
406.3671875,0,0
410.3515625,0,0
414.3359375,0,0
418.3203125,0,0
422.3046875,0,0
426.2890625,0,0
430.2734375,0,0
434.2578125,0,0
438.2421875,0,0
442.2265625,0,0
446.2109375,0,0
450.1953125,0,0
454.1796875,0,0
458.1640625,0,0
462.1484375,0,0
466.1328125,0,0
470.1171875,0,0
474.1015625,0,0
478.0859375,0,0
482.0703125,0,0
486.0546875,0,0
490.0390625,0,0
494.0234375,0,0
498.0078125,0,0
